Loss,SmoothedLoss,NLL_Loss,SmoothedNLL_loss
7.668,8.605,6.802,7.876
6.937,7.427,5.963,6.516
6.577,6.821,5.569,5.836
6.664,6.594,5.681,5.581
5.127,6.197,3.945,5.134
5.31,6.094,4.106,5.018
5.342,6.048,4.182,4.965
5.569,5.959,4.426,4.864
5.815,5.809,4.705,4.696
6.428,5.721,5.374,4.592
5.053,5.648,3.827,4.506
6.202,5.566,5.144,4.417
6.262,5.516,5.183,4.356
5.595,5.509,4.431,4.345
5.441,5.421,4.246,4.249
5.583,5.307,4.421,4.115
4.618,5.196,3.357,3.991
4.379,5.143,3.055,3.932
Loss,SmoothedLoss,NLL_Loss,SmoothedNLL_loss
7.668,8.605,6.802,7.876
6.937,7.427,5.963,6.516
6.577,6.821,5.569,5.836
Loss,SmoothedLoss,NLL_Loss,SmoothedNLL_loss
8.111,8.924,7.299,8.232
7.373,7.762,6.472,6.901
7.016,7.183,6.092,6.252
7.048,6.973,6.105,6.013
5.525,6.599,4.386,5.589
5.625,6.477,4.466,5.449
5.738,6.328,4.616,5.281
5.809,6.252,4.69,5.192
6.103,6.056,5.033,4.973
6.804,5.952,5.8,4.853
5.18,5.861,3.974,4.746
6.301,5.767,5.256,4.646
6.746,5.676,5.737,4.536
5.701,5.673,4.56,4.533
5.28,5.583,4.084,4.433
5.614,5.485,4.456,4.317
4.821,5.358,3.56,4.176
4.565,5.318,3.273,4.129
4.21,5.339,2.877,4.15
4.32,5.416,3.015,4.241
5.464,5.323,4.326,4.133
5.735,5.25,4.585,4.049
4.798,5.273,3.536,4.073
Loss,SmoothedLoss,NLL_Loss,SmoothedNLL_loss
8.111,8.924,7.299,8.232
7.373,7.762,6.472,6.901
7.016,7.183,6.092,6.252
7.048,6.973,6.105,6.013
Loss,SmoothedLoss,NLL_Loss,SmoothedNLL_loss
8.111,8.924,7.299,8.232
7.373,7.762,6.472,6.901
7.016,7.183,6.092,6.252
7.048,6.973,6.105,6.013
